ob,Type,y0,y1,y2,Pa,Qa,Pb,Qb,Pc,Qc,Va,Vb,Vc,anga,angb,angc
1,Load,0.0,0.0,0.0,-46.0,-13.0,-46.0,-13.0,-46.0,-13.0,0.9986,0.9890,1.0011,18.26,-102.30,137.83
2,Load,0.0,0.0,0.0,-38.0,-15.0,-38.0,-15.0,-38.0,-15.0,0.9958,0.9899,0.9991,17.95,-102.58,137.60
3,Load,0.0,0.0,0.0,-28.0,-08.0,-28.0,-08.0,-28.0,-08.0,0.9997,0.9983,1.0017,18.23,-102.25,138.05
4,Load,0.0,0.0,0.0,0.00,0.0,0.00,0.0,0.00,0.0,1.0145,1.0077,1.0070,19.15,-101.11,139.29
5,Load,0.0,0.0,0.0,-26.0,-10.0,-26.0,-10.0,-26.0,-10.0,1.0079,0.9963,0.9981,18.28,-102.19,138.33
6,Gen,0.150,0.010,0.091,0.00,0.0,0.00,0.0,0.00,0.0,1.0500,1.0499,1.0454,-2.01,-122.30,117.85
